status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/Index,/EXTReactBootstrap/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/InstallationT3ReactBootstrapTheme/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/InstallationT3ReactBootstrapTheme/Index,/EXTReactBootstrap/InstallationT3ReactBootstrapTheme/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/InstallationT3ReactBootstrapjs/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/InstallationT3ReactBootstrapjs/Index,/EXTReactBootstrap/InstallationT3ReactBootstrapjs/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/Introduction/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/Introduction/Index,/EXTReactBootstrap/Introduction/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/Localization/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/Localization/Index,/EXTReactBootstrap/Localization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/PreviewFeature/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/PreviewFeature/Index,/EXTReactBootstrap/PreviewFeature/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReactBootstrap/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTReactBootstrap/UpdateVersion/Index,/EXTReactBootstrap/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/CustomElements/Index.html,http://192.168.0.137:3000/EXTReva/CustomElements/Index,/EXTReva/CustomElements/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/Customization/Index.html,http://192.168.0.137:3000/EXTReva/Customization/Index,/EXTReva/Customization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/DemoSite/Index.html,http://192.168.0.137:3000/EXTReva/DemoSite/Index,/EXTReva/DemoSite/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/FAQ/Index.html,http://192.168.0.137:3000/EXTReva/FAQ/Index,/EXTReva/FAQ/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/GlobalSettingsConfiguration/Index.html,http://192.168.0.137:3000/EXTReva/GlobalSettingsConfiguration/Index,/EXTReva/GlobalSettingsConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/HelpSupport/Index.html,http://192.168.0.137:3000/EXTReva/HelpSupport/Index,/EXTReva/HelpSupport/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/Index.html,http://192.168.0.137:3000/EXTReva/Index,/EXTReva/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/InstallationT3RevaReactjs/Index.html,http://192.168.0.137:3000/EXTReva/InstallationT3RevaReactjs/Index,/EXTReva/InstallationT3RevaReactjs/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/InstallationT3RevaTheme/Index.html,http://192.168.0.137:3000/EXTReva/InstallationT3RevaTheme/Index,/EXTReva/InstallationT3RevaTheme/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/Introduction/Index.html,http://192.168.0.137:3000/EXTReva/Introduction/Index,/EXTReva/Introduction/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTReva/Localization/Index.html,http://192.168.0.137:3000/EXTReva/Localization/Index,/EXTReva/Localization/Index,"Same route structure, RTD prefix removed, .html removed"
